side,row,item,name,f,leq_over_d,diameter_in,quantity,velocity_fts,method,workbook_loss_ft,standard_leq_loss_ft,k_loss_ft,k_factor,pressure_psi,pressure_loss_ft,excel_total_ft
suction,6,1,Valvula de Compuerta 100% Abierta,0.014,8,10.02,1,3.12,LEQ_OVER_D,0.0168248889,0.016943072,0.0287427115,0.19,,0.0,0.0168248889
suction,7,2,Valvula de Compuerta 1/2 Cerrada,0.019,12,2.067,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,1.15,,0.0,0.0
suction,8,3,Valvula de Compuerta 3/4 Cerrada,0.016,17,5.047,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,5.6,,0.0,0.0
suction,9,2,Valvula de Globo 100% Abierta,0.019,340,2.067,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,10.0,,0.0,0.0
suction,10,3,Valvula de Globo  1/2 Cerrada,0.027,400,0.622,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,12.0,,0.0,0.0
suction,11,2,Valvula de Globo de Retencion (Check),0.025,55,0.824,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,2.0,,0.0,0.0
suction,12,3,Valvula de Globo Vertical de Retencion,0.027,55,0.622,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,10.0,,0.0,0.0
suction,13,4,Valvula de Angulo,0.021,55,1.61,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,5.0,,0.0,0.0
suction,14,5,Valvula de angulo de Retencion,0.019,150,2.067,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,5.0,,0.0,0.0
suction,15,6,Valvula Check de Balancin,0.013,100,12.0,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,2.0,,0.0,0.0
suction,16,7,Valvula Check de Levante,0.016,600,5.047,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,12.0,,0.0,0.0
suction,17,8,Valvula Check de Disco,0.012,90,16.876,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,2.0,,0.0,0.0
suction,18,9,Valvula de Pie con Colador de Visagra,0.027,75,0.622,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,7.0,,0.0,0.0
suction,19,10,Valvula de Pie con Colador de Cabezal,0.015,420,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,10.0,,0.0,0.0
suction,20,11,Valvula de Bola,0.014,5.5,7.981,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.05,,0.0,0.0
suction,21,12,Valvula de Mariposa,0.027,45,0.622,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.3,,0.0,0.0
suction,22,13,Valvula de Macho de Mariposa 3 vias,0.027,30,0.622,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.5,,0.0,0.0
suction,23,14,Valvula Macho (Tapon),0.015,18,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.3,,0.0,0.0
suction,24,15,Codo Roscado 90,0.013,30,13.124,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,1.5,,0.0,0.0
suction,25,16,Codo Roscado 45,0.027,16,0.622,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.45,,0.0,0.0
suction,26,17,Codo Escuadra 90,0.013,60,13.124,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,1.2,,0.0,0.0
suction,27,18,Codo Escuadra 45,0.015,15,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.35,,0.0,0.0
suction,28,19,Codo  Soldado 90 (Radio Corto),0.015,20,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.3,,0.0,0.0
suction,29,20,Codo Soldado 45 ( Radio Corto),0.015,17,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.2,,0.0,0.0
suction,30,21,Tee Soldado Roscado,0.015,15,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,1.0,,0.0,0.0
suction,31,22,Tee Soldado Soldaddo,0.015,60,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.2,,0.0,0.0
suction,32,23,Entrada de Tuberia Nivel Redondeada,0.027,0.24,0.622,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.04,,0.0,0.0
suction,33,24,Entrada de Tuberia Interior,0.015,0.78,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,1.0,,0.0,0.0
suction,34,25,Salida de Tuberia Nivel Recta,0.015,1,6.065,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.5,,0.0,0.0
suction,35,26,Salida de Tuberia Interior,0.019,1,2.067,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,1.0,,0.0,0.0
suction,36,27,Salida de Tuberia Nivel Redondeada,0.013,1,13.124,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.15,,0.0,0.0
suction,37,28,Codo Soldado 180 ( Radio Corto),0.027,50,0.622,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.6,,0.0,0.0
suction,38,19,Codo  Soldado 90 (Radio Largo),0.012,12,18.812,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.2,,0.0,0.0
suction,39,20,Codo Soldado 45 ( Radio Largo),0.012,8,18.812,0,3.12,LEQ_OVER_D,0.0,0.0,0.0,0.15,,0.0,0.0
discharge,7,1,Valvula de Compuerta 100% Abierta,0.015,8,6.065,2,8.6,LEQ_OVER_D,0.2739259259,0.2758500653,0.4367626033,0.19,,0.0,0.2739259259
discharge,8,2,Valvula de Compuerta 1/2 Cerrada,0.017,12,4.026,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,1.15,,0.0,0.0
discharge,9,3,Valvula de Compuerta 3/4 Cerrada,0.017,17,4.026,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,5.6,,0.0,0.0
discharge,10,2,Valvula de Globo 100% Abierta,0.021,340,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,10.0,,0.0,0.0
discharge,11,3,Valvula de Globo  1/2 Cerrada,0.017,400,4.026,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,12.0,,0.0,0.0
discharge,12,2,Valvula de Globo de Retencion (Check),0.018,55,3.068,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,2.0,,0.0,0.0
discharge,13,3,Valvula de Globo Vertical de Retencion,0.021,55,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,10.0,,0.0,0.0
discharge,14,4,Valvula de Angulo,0.021,55,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,5.0,,0.0,0.0
discharge,15,5,Valvula de angulo de Retencion,0.015,150,6.065,1,8.6,LEQ_OVER_D,2.5680555556,2.5860943619,5.7468763598,5.0,,0.0,2.5680555556
discharge,16,6,Valvula Check de Balancin,0.015,100,6.065,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,2.0,,0.0,0.0
discharge,17,7,Valvula Check de Levante,0.018,600,3.068,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,12.0,,0.0,0.0
discharge,18,8,Valvula Check de Disco,0.021,90,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,2.0,,0.0,0.0
discharge,19,9,Valvula de Pie con Colador de Visagra,0.021,75,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,7.0,,0.0,0.0
discharge,20,10,Valvula de Pie con Colador de Cabezal,0.021,420,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,10.0,,0.0,0.0
discharge,21,11,Valvula de Bola,0.015,5.5,6.065,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.05,,0.0,0.0
discharge,22,12,Valvula de Mariposa,0.027,45,0.622,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.3,,0.0,0.0
discharge,23,13,Valvula de Macho de Mariposa 3 vias,0.027,30,0.622,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.5,,0.0,0.0
discharge,24,14,Valvula Macho (Tapon),0.015,18,6.065,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.3,,0.0,0.0
discharge,25,15,Codo Roscado 90,0.013,30,13.124,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,1.5,,0.0,0.0
discharge,26,16,Codo Roscado 45,0.013,16,13.124,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.45,,0.0,0.0
discharge,27,17,Codo Escuadra 90,0.013,60,13.124,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,1.2,,0.0,0.0
discharge,28,18,Codo Escuadra 45,0.013,15,13.124,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.35,,0.0,0.0
discharge,29,19,Codo  Soldado 90 (Radio Corto),0.015,20,6.065,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.3,,0.0,0.0
discharge,30,20,Codo Soldado 45 ( Radio Corto),0.015,17,6.065,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.2,,0.0,0.0
discharge,31,21,Tee Soldado Roscado,0.015,15,6.065,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,1.0,,0.0,0.0
discharge,32,22,Tee Soldado Soldaddo,0.014,60,7.981,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.2,,0.0,0.0
discharge,33,23,Entrada de Tuberia Nivel Redondeada,0.021,0.24,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.04,,0.0,0.0
discharge,34,24,Entrada de Tuberia Interior,0.021,0.78,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,1.0,,0.0,0.0
discharge,35,25,Salida de Tuberia Nivel Recta,0.021,1,1.61,0,8.6,LEQ_OVER_D,0.0,0.0,0.0,0.5,,0.0,0.0
