sheet,cell,formula,constant_value,constant_description,verification_status
CAIDA PRESION DE TUBERIA,G8,=G7*(G5/G6)^0.5,0.5,UNVERIFIED - needs analysis,UNVERIFIED
CAIDA PRESION DE TUBERIA,V8,=V7*(V5/V6)^0.5,0.5,UNVERIFIED - needs analysis,UNVERIFIED
CAIDA PRESION DE TUBERIA,G11,=50.6*G5*G9/(G8*G10),50.6,"Reynolds number constant for imperial units (Q in GPM, D in inches, ρ in lb/ft³, μ in cP)",KNOWN
CAIDA PRESION DE TUBERIA,V11,=50.6*V5*V9/(V8*V10),50.6,"Reynolds number constant for imperial units (Q in GPM, D in inches, ρ in lb/ft³, μ in cP)",KNOWN
CAIDA PRESION DE TUBERIA,V16,= 64/V11,64.0,UNVERIFIED - needs analysis,UNVERIFIED
CAIDA PRESION DE TUBERIA,G19,=(((G17*G16*G9*(G5^2))/(G8^5))*2.3071)*G18,2.3071,Darcy-Weisbach constant for ft head loss (imperial units),KNOWN
CAIDA PRESION DE TUBERIA,V19,=(((V17*V16*V9*(V5^2))/(V8^5))*2.3071)*V18,2.3071,Darcy-Weisbach constant for ft head loss (imperial units),KNOWN
CALCULO DE BOMBA,C8,=14.7,14.7,Standard atmospheric pressure (psi),KNOWN
CALCULO DE BOMBA,C9,=500/304.8,500.0,UNVERIFIED - needs analysis,UNVERIFIED
CALCULO DE BOMBA,C9,=500/304.8,304.8,UNVERIFIED - needs analysis,UNVERIFIED
CALCULO DE BOMBA,C12,=2.12*3.281,3.281,Meters to feet conversion,KNOWN
CALCULO DE BOMBA,C12,=2.12*3.281,2.12,UNVERIFIED - needs analysis,UNVERIFIED
CALCULO DE BOMBA,E14,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
CALCULO DE BOMBA,E20,=(E4*C28*E11)/3960,3960,Hydraulic horsepower constant (Q*TDH*SG/3960 = HP),KNOWN
CALCULO DE BOMBA,E22,=E21*0.7456,0.7456,HP to kW conversion (1 HP = 0.7456 kW),KNOWN
CALCULO DE BOMBA,E23,=(E21*5252)/1700,5252,Torque constant (HP * 5252 / RPM = lb-ft),KNOWN
CALCULO DE BOMBA,E23,=(E21*5252)/1700,1700,Motor speed constant (appears to be rated RPM),KNOWN
CALCULO DE BOMBA,E24,=C28*0.3048,0.3048,Feet to meters conversion,KNOWN
