sheet,cell,value,data_type,number_format,is_formula
CAIDA PRESION DE TUBERIA,G5,770.5,n,General,False
CAIDA PRESION DE TUBERIA,G6,8.6,n,0.00,False
CAIDA PRESION DE TUBERIA,V6,3.12,n,General,False
CAIDA PRESION DE TUBERIA,G7,0.639,n,0.000,False
CAIDA PRESION DE TUBERIA,V7,0.639,n,0.000,False
CAIDA PRESION DE TUBERIA,G12,6,n,0.0,False
CAIDA PRESION DE TUBERIA,V12,10,n,General,False
CAIDA PRESION DE TUBERIA,G17,0.0272,n,0.0000,False
CAIDA PRESION DE TUBERIA,V17,0.0272,n,0.0000,False
CAIDA PRESION DE TUBERIA,G18,1.2,n,General,False
CAIDA PRESION DE TUBERIA,V18,1.2,n,General,False
CAIDA PRESION DE TUBERIA,A20,6,n,General,False
CAIDA PRESION DE TUBERIA,B20,6,n,General,False
CAIDA PRESION DE TUBERIA,A21,1,n,General,False
CAIDA PRESION DE TUBERIA,B21,1,n,General,False
CALCULO DE BOMBA,C6,1,n,0.00,False
CALCULO DE BOMBA,E8,0,n,0.00,False
CALCULO DE BOMBA,E10,1.64,n,0.00,False
CALCULO DE BOMBA,C20,6.92,n,0.00,False
CALCULO DE BOMBA,C22,0.72,n,0.00,False
CALCULO DE BOMBA,C29,3600,n,0.00,False
CALCULO DE BOMBA,A32,9,n,General,False
CALCULO DE BOMBA,A33,3,n,General,False
CALCULO DE BOMBA,A34,15,n,General,False
TABLA DE ACCESORIOS DESCARGA,E1,2,n,General,False
TABLA DE ACCESORIOS DESCARGA,H2,8.6,n,General,False
TABLA DE ACCESORIOS DESCARGA,K3,11,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ3,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,K4,9,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ4,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,K5,9,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ5,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,K6,5,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ6,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B7,1,n,0,False
TABLA DE ACCESORIOS DESCARGA,F7,8,n,0,False
TABLA DE ACCESORIOS DESCARGA,H7,2,n,0,False
TABLA DE ACCESORIOS DESCARGA,K7,9,n,General,False
TABLA DE ACCESORIOS DESCARGA,N7,2,n,General,False
TABLA DE ACCESORIOS DESCARGA,O7,0.2739259259259259,n,General,False
TABLA DE ACCESORIOS DESCARGA,R7,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S7,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X7,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y7,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB7,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC7,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF7,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG7,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ7,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B8,2,n,0,False
TABLA DE ACCESORIOS DESCARGA,F8,12,n,0,False
TABLA DE ACCESORIOS DESCARGA,H8,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K8,8,n,General,False
TABLA DE ACCESORIOS DESCARGA,N8,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O8,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R8,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S8,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X8,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y8,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB8,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC8,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF8,0,n,General,False
