name,scope,reference,has_ref_error,sheet_associated,cell_range,used_in_formulas,formula_cells,used_in_data_validation,possible_replacement,comment
DESCARGA,Global,'VELOCIDADES RECOMENDADAS'!$C$5:$F$23,False,,,2,CALCULO DE BOMBA!C24; RESUMEN PARA PDF!C26,0,,
DIAMETRO,Global,'VELOCIDADES RECOMENDADAS'!$T$4:$W$23,False,,,68,TABLA DE ACCESORIOS DESCARGA!G7; TABLA DE ACCESORIOS DESCARGA!G8; TABLA DE ACCESORIOS DESCARGA!G9; TABLA DE ACCESORIOS DESCARGA!G10; TABLA DE ACCESORIOS DESCARGA!G11; TABLA DE ACCESORIOS DESCARGA!G12; TABLA DE ACCESORIOS DESCARGA!G13; TABLA DE ACCESORIOS DESCARGA!G14; TABLA DE ACCESORIOS DESCARGA!G15; TABLA DE ACCESORIOS DESCARGA!G16; TABLA DE ACCESORIOS DESCARGA!G17; TABLA DE ACCESORIOS DESCARGA!G18; TABLA DE ACCESORIOS DESCARGA!G19; TABLA DE ACCESORIOS DESCARGA!G20; TABLA DE ACCESORIOS DESCARGA!G21; TABLA DE ACCESORIOS DESCARGA!G22; TABLA DE ACCESORIOS DESCARGA!G23; TABLA DE ACCESORIOS DESCARGA!G24; TABLA DE ACCESORIOS DESCARGA!G25; TABLA DE ACCESORIOS DESCARGA!G26,0,,
FRICCION,Global,'VELOCIDADES RECOMENDADAS'!$T$4:$V$23,False,,,68,TABLA DE ACCESORIOS DESCARGA!D7; TABLA DE ACCESORIOS DESCARGA!D8; TABLA DE ACCESORIOS DESCARGA!D9; TABLA DE ACCESORIOS DESCARGA!D10; TABLA DE ACCESORIOS DESCARGA!D11; TABLA DE ACCESORIOS DESCARGA!D12; TABLA DE ACCESORIOS DESCARGA!D13; TABLA DE ACCESORIOS DESCARGA!D14; TABLA DE ACCESORIOS DESCARGA!D15; TABLA DE ACCESORIOS DESCARGA!D16; TABLA DE ACCESORIOS DESCARGA!D17; TABLA DE ACCESORIOS DESCARGA!D18; TABLA DE ACCESORIOS DESCARGA!D19; TABLA DE ACCESORIOS DESCARGA!D20; TABLA DE ACCESORIOS DESCARGA!D21; TABLA DE ACCESORIOS DESCARGA!D22; TABLA DE ACCESORIOS DESCARGA!D23; TABLA DE ACCESORIOS DESCARGA!D24; TABLA DE ACCESORIOS DESCARGA!D25; TABLA DE ACCESORIOS DESCARGA!D26,0,,
gravedadespecifica,Global,'VELOCIDADES RECOMENDADAS'!$Y$4:$AC$23,False,,,1,CALCULO DE BOMBA!E11,0,,
INPIPE,Global,'VELOCIDADES RECOMENDADAS'!$K$4:$R$23,False,,,2,CAIDA PRESION DE TUBERIA!V9; CAIDA PRESION DE TUBERIA!V10,0,,
INTUBE,Global,'VELOCIDADES RECOMENDADAS'!$C$4:$F$23,False,,,0,,0,,
LISTA,Global,'VELOCIDADES RECOMENDADAS'!#REF!,True,,,0,,0,Likely a deleted table or data validation list source,
OUTPIPE,Global,'VELOCIDADES RECOMENDADAS'!$B$4:$F$23,False,,,8,CAIDA PRESION DE TUBERIA!G9; CAIDA PRESION DE TUBERIA!G10; CAIDA PRESION DE TUBERIA!G16; CALCULO DE BOMBA!C4; REPORTE GENERAL!H14; REPORTE GENERAL!I14; REPORTE GENERAL!C15; REPORTE GENERAL!D15,0,,
OUTPIPES,Global,'VELOCIDADES RECOMENDADAS'!$B$4:$I$23,False,,,8,CAIDA PRESION DE TUBERIA!G9; CAIDA PRESION DE TUBERIA!G10; CAIDA PRESION DE TUBERIA!G16; CALCULO DE BOMBA!C4; REPORTE GENERAL!H14; REPORTE GENERAL!I14; REPORTE GENERAL!C15; REPORTE GENERAL!D15,0,,
presionvapor,Global,'VELOCIDADES RECOMENDADAS'!$Y$4:$AB$23,False,,,1,CALCULO DE BOMBA!E9,0,,
RUGOSIDAD,Global,'VELOCIDADES RECOMENDADAS'!$M$26:$O$31,False,,,2,CAIDA PRESION DE TUBERIA!G14; CAIDA PRESION DE TUBERIA!V14,0,,
SUCCION,Global,'VELOCIDADES RECOMENDADAS'!$L$5:$O$17,False,,,1,CALCULO DE BOMBA!C11,0,,
TIPOIMPULSOR,Global,'VELOCIDADES RECOMENDADAS'!$AE$5:$AG$33,False,,,1,CALCULO DE BOMBA!E29,0,,
tipotanque,Global,'VELOCIDADES RECOMENDADAS'!$T$26:$V$30,False,,,0,,0,,
