id,severity,sheet,cell,evidence,possible_impact,missing_info,status,category,supersedes,correction
FIND-001,LOW,VELOCIDADES RECOMENDADAS,Named Range: LISTA,Named range 'LISTA' references '#REF!' - broken reference,"Orphaned reference with zero usage in formulas, data validation, macros, or ActiveX controls",Original purpose unknown; likely deleted data validation list,CONFIRMED_ERROR,BROKEN_REFERENCE,FIND-001 (prev HIGH),Downgraded from HIGH: no calculation or UI impact
FIND-002,HIGH,CAIDA PRESION DE TUBERIA,V16 (suction friction factor),"V16 = 64/V11 (laminar f=64/Re) used for ALL Reynolds numbers. Current Re=462,915 (turbulent). Discharge G16 uses OUTPIPES col 8 (0.00013, labeled 'Factor de Fricción' but is actually pipe roughness ε in ft). G17=0.0272 used as friction factor in pressure drop formula.",Suction friction factor 0.000138 (100x too low); discharge friction factor 0.0272 (2x too high). Suction head losses severely underestimated; discharge overestimated.,Correct Colebrook-White or Swamee-Jain correlation needed for both sides,CONFIRMED_ERROR,INCORRECT_FRICTION_FACTOR,FIND-002 (prev MEDIUM INCONSISTENT_METHOD),"Upgraded severity: not just inconsistent method, but WRONG VALUES for both suction and discharge turbulent flow"
FIND-003,MEDIUM,CALCULO DE BOMBA,E14 (NPSH Available),"E14 = ((C8+E8)*(2.31/E11)) + C9 - C11 - C14 - E9. C8=14.7 psia, E8=0 psig (vessel), E11=SG, E9=ft water absolute (vapor pressure). Formula adds psia + psig (correct for gauge vessel pressure). Vapor pressure head E9 in ft water NOT divided by SG.","For SG≠1, vapor pressure head error = E9*(1/SG - 1). At SG=0.995, error ~0.5%. Larger for other fluids.",Confirm E8 is psig; apply E9/E11 correction in independent engine,CORRECT_FOR_GAUGE_VESSEL_PRESSURE,NPSH_UNIT_CONVERSION,FIND-003 (prev HIGH UNIT_INCONSISTENCY),Previous analysis incorrect: Patm(psia)+Pvessel(psig) is correct absolute pressure. Only missing SG division on vapor pressure head.
FIND-004,LOW,"CAIDA PRESION DE TUBERIA, RAMALES, VELOCIDADES RECOMENDADAS","Multiple (G19, V19, RAMALES!D12, VELOCIDADES!V27-V30)",Constant 2.3071 appears in pressure drop formulas. 2.3071 = 144/62.395 = 2.3077 (psi to ft water conversion). 2.31 used elsewhere. Difference 0.02%.,Negligible (<0.02%) on pressure drop results,None - derivable,VALID_PRESSURE_HEAD_CONVERSION,CONSTANT_VERIFIED,FIND-004 (prev MEDIUM UNVERIFIED_CONSTANT),Constant verified: 144 in²/ft² ÷ 62.4 lb/ft³ = 2.3077 ft water/psi
FIND-005,LOW,CAIDA PRESION DE TUBERIA,"G11, V11 (Reynolds Number)","Re = 50.6 × Q × ρ / (D × μ). Full derivation: Q[GPM]→ft³/s (/448.83), D[in]→ft (/12), μ[cP]→lbm/(ft·s) (×6.7197e-4), V=Q/A. Constant = 0.4085×4×144/(π×12×6.7197e-4) = 50.66 ≈ 50.6. ρ is MASS DENSITY (lbm/ft³) from OUTPIPES col 6.",Formula CORRECT for given units. Previous concern was confusion with SG-based formula (Re=50.6×Q×SG/(D×μ)).,None,FORMULA_CORRECT_WITH_DENSITY,CONSTANT_VERIFIED,FIND-005 (prev MEDIUM UNIT_INCONSISTENCY),"Previous analysis wrong: factor 50.6 is correct for mass density in lbm/ft³, not specific gravity"
FIND-006,LOW,CALCULO DE BOMBA,C9 (Static Suction Head),=500/304.8 (500 mm → ft). Hardcoded elevation difference.,"If actual elevation differs, NPSHa and TDH wrong",Source of 500 mm value (piping layout drawing?),UNVERIFIED,HARDCODED_VALUE,FIND-006,No change - still requires traceability
FIND-007,LOW,CALCULO DE BOMBA,C12 (Suction Pipe Length),=2.12*3.281 (2.12 m → ft). Hardcoded length.,"If actual length differs, suction friction loss wrong",Source of 2.12 m value,UNVERIFIED,HARDCODED_VALUE,FIND-007,No change
FIND-008,MEDIUM,CALCULO DE BOMBA,E9 (Vapor Pressure) → E14 (NPSH formula),"presionvapor table col 4 (AB) = ft water absolute (formula: =(AA*3.2808)/1.422 where AA=psia, 3.2808/1.422=2.307). NPSH formula uses E9 directly: -E9. Should be -E9/E11 (vapor pressure head in ft of pumped liquid).","Error = E9*(1/SG - 1). At SG=0.995, ~0.5%. Larger for other fluids.",Apply SG correction in independent engine,CORRECT_BUT_MISSING_SG_DIVISION,NPSH_UNIT_CONVERSION,FIND-008 (prev MEDIUM MISSING_DATA),Clarified: vapor pressure in ft water; needs /SG for ft liquid
FIND-009,LOW,TABLA DE ACCESORIOS DESCARGA/SUCCION,Column I (Accessory losses),"Formula: =((D*F)*($H$2^2)/(32.4*2))*H. D=friction factor f from FRICCION table, F=Leq/D hardcoded, H$2=velocity (ft/s), 32.4*2=64.8≈2g (g=32.2). Standard Leq method: h = f × (Leq/D) × V²/(2g).",Correct method; 32.4≈g (32.174) so 32.4*2≈64.8 vs 64.35 (2g). Error <0.7%.,None,VALID_LEQ_METHOD,CONSTANT_VERIFIED,FIND-009 (prev MEDIUM AMBIGUOUS_FORMULA),Formula is standard equivalent length method; 32.4 is g approximation
FIND-010,LOW,CALCULO DE BOMBA,E27 (Specific Speed),"E27 = (C29*E4^0.5)/E24^0.75. C29=3600 RPM, E4=GPM, E24=TDH in METERS (from C28*0.3048). US specific speed requires H in FEET. Result is dimensionally inconsistent.",Specific speed value incorrect for pump selection (Ns units wrong),Use C28 (TDH in ft) instead of E24 for Ns calculation,UNIT_INCONSISTENCY,UNIT_INCONSISTENCY,FIND-010 (prev LOW UNIT_INCONSISTENCY),Confirmed: use TDH in ft for US specific speed
