cell_ref,variable,formula,equation,description,units,source
CAIDA PRESION DE TUBERIA!G8,Diameter (inches) - Discharge,=G7*(G5/G6)^0.5,D = K * sqrt(Q/v),Pipe diameter calculation from flow and velocity,"G5=GPM, G6=ft/s, G7=const, D=inches",Empirical sizing formula
CAIDA PRESION DE TUBERIA!V8,Diameter (inches) - Suction,=V7*(V5/V6)^0.5,D = K * sqrt(Q/v),Pipe diameter calculation from flow and velocity,"V5=GPM, V6=ft/s, V7=const, D=inches",Empirical sizing formula
CAIDA PRESION DE TUBERIA!G11,Reynolds Number - Discharge,=50.6*G5*G9/(G8*G10),Re = 50.6 * Q * ρ / (D * μ),Reynolds number for pipe flow (imperial units),"Q=GPM, ρ=lb/ft³, D=inches, μ=cP",Imperial Reynolds formula derivation
CAIDA PRESION DE TUBERIA!V11,Reynolds Number - Suction,=50.6*V5*V9/(V8*V10),Re = 50.6 * Q * ρ / (D * μ),Reynolds number for pipe flow (imperial units),"Q=GPM, ρ=lb/ft³, D=inches, μ=cP",Imperial Reynolds formula derivation
CAIDA PRESION DE TUBERIA!G15,Relative Roughness - Discharge,=G14/(G12/12),ε/D = ε_abs / D_ft,Relative roughness for Moody chart,"G14=ft (absolute roughness), G12=inches (nominal diameter)",Standard definition
CAIDA PRESION DE TUBERIA!V15,Relative Roughness - Suction,=V14/(V12/12),ε/D = ε_abs / D_ft,Relative roughness for Moody chart,"V14=ft (absolute roughness), V12=inches (nominal diameter)",Standard definition
CAIDA PRESION DE TUBERIA!V16,Friction Factor (Laminar) - Suction,= 64/V11,f = 64/Re,Laminar flow friction factor (Hagen-Poiseuille),Re = Reynolds number,Theoretical laminar flow
CAIDA PRESION DE TUBERIA!G19,Friction Head Loss (ft/ft) - Discharge,=(((G17*G16*G9*(G5^2))/(G8^5))*2.3071)*G18,hf/L = f * (L/D) * (V²/2g) -> converted to ft/ft using Q,Darcy-Weisbach head loss per unit length (imperial),"G17=f, G16=?, G9=lb/ft³, G5=GPM, G8=inches, 2.3071=const, G18=length factor",Darcy-Weisbach with imperial conversions
CAIDA PRESION DE TUBERIA!V19,Friction Head Loss (ft/ft) - Suction,=(((V17*V16*V9*(V5^2))/(V8^5))*2.3071)*V18,hf/L = f * (L/D) * (V²/2g) -> converted to ft/ft using Q,Darcy-Weisbach head loss per unit length (imperial),"V17=f, V16=?, V9=lb/ft³, V5=GPM, V8=inches, 2.3071=const, V18=length factor",Darcy-Weisbach with imperial conversions
CALCULO DE BOMBA!C9,Static Suction Head (ft),=500/304.8,Hs = elevation_diff_m / 0.3048,Static suction head from elevation difference,"500 = mm, 304.8 = mm/ft, result = ft",Geometry conversion
