"variable_id","description","value","unit","source_sheet","source_cell","source_formula","data_type","source_type","confidence","notes"
"flow_gpm","Flow Rate","770.5","GPM","CAIDA PRESION DE TUBERIA","G5","","INPUT","HIGH","HIGH",""
"density_lbm_ft3","Fluid Density","62.0","lbm/ft3","CAIDA PRESION DE TUBERIA","G9","","INPUT","HIGH","HIGH",""
"specific_gravity","Specific Gravity","0.995","-","CALCULO DE BOMBA","E11","","INPUT","HIGH","HIGH",""
"dynamic_viscosity_cp","Dynamic Viscosity","0.52","cP","CAIDA PRESION DE TUBERIA","G10","","INPUT","HIGH","HIGH",""
"temperature_f","Operating Temperature","95.0","degF","VELOCIDADES RECOMENDADAS","AA13","","INPUT","HIGH","HIGH",""
"vapor_pressure_value","Vapor Pressure (abs)","0.8","psia","VELOCIDADES RECOMENDADAS","AA13","","INPUT","HIGH","HIGH",""
"suction_target_velocity_fps","Suction Target Velocity","3.12","ft/s","CAIDA PRESION DE TUBERIA","V6","","INPUT","MEDIUM","MEDIUM",""
"suction_inside_diameter_in","Suction Inside Diameter","10.041761045944389","in","CAIDA PRESION DE TUBERIA","V8","","INPUT","HIGH","HIGH",""
"suction_nominal_diameter_in","Suction Nominal Diameter","10.0","in","CAIDA PRESION DE TUBERIA","V12","","INPUT","HIGH","HIGH",""
"suction_absolute_roughness_ft","Suction Roughness","0.00012","ft","CAIDA PRESION DE TUBERIA","V14","","INPUT","HIGH","HIGH",""
"suction_length_ft","Suction Pipe Length","6.95572","ft","CALCULO DE BOMBA","C12","","INPUT","UNVERIFIED","UNVERIFIED",""
"suction_static_head_ft","Suction Static Head","1.6404199475065617","ft","CALCULO DE BOMBA","C9","","INPUT","UNVERIFIED","UNVERIFIED",""
"suction_fitting_losses_ft","Suction Fitting Losses","0.01682488888888889","ft","CALCULO DE BOMBA","C11","","INPUT","HIGH","HIGH",""
"discharge_target_velocity_fps","Discharge Target Velocity","8.6","ft/s","CAIDA PRESION DE TUBERIA","G6","","INPUT","MEDIUM","MEDIUM",""
"discharge_inside_diameter_in","Discharge Inside Diameter","6.048364477182011","in","CAIDA PRESION DE TUBERIA","G8","","INPUT","HIGH","HIGH",""
"discharge_nominal_diameter_in","Discharge Nominal Diameter","6.0","in","CAIDA PRESION DE TUBERIA","G12","","INPUT","HIGH","HIGH",""
"discharge_absolute_roughness_ft","Discharge Roughness","0.00012","ft","CAIDA PRESION DE TUBERIA","G14","","INPUT","HIGH","HIGH",""
"discharge_length_ft","Discharge Pipe Length","36.0","ft","CALCULO DE BOMBA","C25","","INPUT","HIGH","HIGH",""
"discharge_static_head_ft","Discharge Static Head","6.92","ft","CALCULO DE BOMBA","C20","","INPUT","UNVERIFIED","UNVERIFIED",""
"discharge_fitting_losses_ft","Discharge Fitting Losses","188.5586148","ft","CALCULO DE BOMBA","C24","","INPUT","HIGH","HIGH",""
"atmospheric_pressure_psia","Atmospheric Pressure","14.7","psia","CALCULO DE BOMBA","C8","","INPUT","MEDIUM","MEDIUM",""
"vessel_pressure","Vessel Pressure","0.0","psig","CALCULO DE BOMBA","E8","","INPUT","HIGH","HIGH",""
"pump_efficiency","Pump Efficiency","0.72","-","CALCULO DE BOMBA","C22","","INPUT","MEDIUM","MEDIUM",""
"pump_rpm","Pump RPM","3600.0","rpm","CALCULO DE BOMBA","C29","","INPUT","HIGH","HIGH",""
"legacy_torque_rpm","Legacy Torque RPM","1700.0","rpm","CALCULO DE BOMBA","E23","","INPUT","LOW","LOW",""
"service_factor","Service Factor","1.0","-","CALCULO DE BOMBA","C6","","INPUT","MEDIUM","MEDIUM",""
"number_of_stages","Number of Stages","1","-","-","-","","INPUT","HIGH","HIGH",""
"number_of_suction_eyes","Suction Eyes","1","-","-","-","","INPUT","MEDIUM","MEDIUM",""
