result,input_variables,source_cells,domain_functions,calculation_path,report_destinations
suction_required_diameter_in,"flow_gpm, suction_target_velocity_fps","G5, V6",required_diameter_from_flow_velocity(),C * sqrt(Q/V) with C=0.639 (derived: 12*sqrt(4/(448.831*pi))) — V8 = V7*sqrt(V5/V6),diameter_selection_audit
discharge_required_diameter_in,"flow_gpm, discharge_target_velocity_fps","G5, G6",required_diameter_from_flow_velocity(),C * sqrt(Q/V) with C=0.639 — G8 = G7*sqrt(G5/G6),diameter_selection_audit
suction_selected_inside_diameter_in,"suction_pipe_schedule, suction_nominal_diameter_in, suction_wall_thickness_in","V12, OUTPIPES, ESPECIFICACION",N/A (input),NULL — schedule is MISSING_SELECTED_PIPE_SCHEDULE,diameter_selection_audit
discharge_selected_inside_diameter_in,"discharge_pipe_schedule, discharge_nominal_diameter_in, discharge_wall_thickness_in","G12, OUTPIPES, ESPECIFICACION",N/A (input),NULL — schedule is MISSING_SELECTED_PIPE_SCHEDULE,diameter_selection_audit
suction_pipe_schedule,suction_nominal_diameter_in,V12,pipe_schedule_lookup,MISSING_SELECTED_PIPE_SCHEDULE — no schedule data in workbook,diameter_selection_audit
discharge_pipe_schedule,discharge_nominal_diameter_in,G12,pipe_schedule_lookup,MISSING_SELECTED_PIPE_SCHEDULE — no schedule data in workbook,diameter_selection_audit
re_discharge,"flow_gpm, density_lbm_ft3, discharge_required_diameter_in, dynamic_viscosity_cp","G5, G9, G8, G10",reynolds_imperial(),50.66 * Q * rho / (D * mu) — uses required ID (selected unavailable),"head_balance, friction_factor_evidence"
re_suction,"flow_gpm, density_lbm_ft3, suction_required_diameter_in, dynamic_viscosity_cp","V5, V9, V8, V10",reynolds_imperial(),50.66 * Q * rho / (D * mu) — uses required ID (selected unavailable),"head_balance, friction_factor_evidence"
f_discharge,"re_discharge, discharge_absolute_roughness_ft, discharge_required_diameter_in","G11, G14, G8","get_friction_factor(Re, eps_D, colebrook)",Colebrook-White using required ID (selected unavailable),"head_balance, friction_factor_evidence, friction_impact_scenarios"
f_suction,"re_suction, suction_absolute_roughness_ft, suction_required_diameter_in","V11, V14, V8","get_friction_factor(Re, eps_D, colebrook)",Colebrook-White using required ID (selected unavailable),"head_balance, friction_factor_evidence, friction_impact_scenarios"
hf_per_ft_discharge,"f_discharge, discharge_required_diameter_in, velocity_discharge","G17/G8, G8 (required)",Darcy-Weisbach: f/D * V^2/(2g),hf_ft = f/D * V^2/(2g) — uses required ID,head_balance
hf_per_ft_suction,"f_suction, suction_required_diameter_in, velocity_suction","V16/V8, V8 (required)",Darcy-Weisbach: f/D * V^2/(2g),hf_ft = f/D * V^2/(2g) — uses required ID,head_balance
npsha_from_surface_ft,"atmospheric_pressure_psia, specific_gravity, vapor_pressure_value, suction_static_head_ft, suction_fitting_losses_ft, suction_major_losses_ft","C8, E11, AA13, C9, C11, C14",calculate_npsha(velocity_head_ft=0.0),NPSHa_surface = (Patm*2.31/SG) + Hs - Hf_fit - Hf_pipe - Pv*2.31/SG — no velocity head,"head_balance, npsh_boundary_comparison"
npsha_from_flange_ft,"atmospheric_pressure_psia, specific_gravity, vapor_pressure_value, suction_static_head_ft, suction_fitting_losses_ft, suction_major_losses_ft","C8, E11, AA13, C9, C11, C14",calculate_npsha(velocity_head_ft=0.0),NPSHa_flange = NPSHa_surface via Bernoulli — velocity head cancels (do NOT double count),"head_balance, npsh_boundary_comparison"
npsha_equivalence_diff,npsha_from_surface_ft + npsha_from_flange_ft,n/a,abs(surface - flange),0.0 — both routes produce identical NPSHa,npsh_boundary_comparison
npsha_equivalence_status,npsha_equivalence_diff,n/a,EQUIVALENT if diff < 1e-8,Both routes EQUIVALENT via Bernoulli,npsh_boundary_comparison
tdh_surface_to_surface_ft,"static_head_diff, suction_minor/major, discharge_minor/major","C21, C11+C14, C24+C26",sum of 5 components (no vel head),TDH_surface = elev_diff + suct_fit + suct_pipe + disch_fit + disch_pipe — primary TDH,"head_balance, tdh_boundary_comparison"
tdh_flange_to_flange_ft,NOT_CALCULABLE,n/a,n/a,NULL — requires flange pressure data (P_disch_flange - P_suct_flange)/γ,tdh_boundary_comparison
tdh_flange_input_status,n/a,n/a,n/a,TDH_FLANGE_NOT_CALCULABLE — no flange pressure measurements available,tdh_boundary_comparison
partial_geometric_kinetic_difference_ft,"static_head_diff, velocity_head_diff","C21, V_d^2/2g - V_s^2/2g",elev_diff + vel_head_diff,"6.28 ft — NOT TDH, only elevation + kinetic components (pressure term missing)",tdh_boundary_comparison
accessory_audit,all 68 accessory table rows,"TABLA DE ACCESORIOS DESCARGA (I7:I40, U7:U40), TABLA DE ACCESORIOS SUCCION (I6:I39)",src/domain/accessory_losses.py,Independent reconstruction of 34 DESCARGA + 34 SUCCION rows with 3 methods each; detects double counting and pressure dominance,accessory_inventory, accessory_row_comparison, accessory_total_reconciliation, double_counting_audit, pareto_analysis, accessory_scenario_comparison
hydraulic_hp,"flow_gpm, tdh_ft, specific_gravity","E4, C28, E11",hydraulic_power_hp(),HP = Q * H * SG / 3960,head_balance
shaft_hp,"hydraulic_hp, pump_efficiency","E20, C22",shaft_power_hp(),Shaft_HP = Hyd_HP / efficiency,head_balance
torque_lbft (validated),"shaft_hp, pump_rpm","E21, C29",torque_lbft(),T = HP * 5252 / pump_rpm,head_balance
