source,target,formula
CAIDA PRESION DE TUBERIA!V5,CAIDA PRESION DE TUBERIA!G5,=G5
CAIDA PRESION DE TUBERIA!G8,CAIDA PRESION DE TUBERIA!G5,=G7*(G5/G6)^0.5
CAIDA PRESION DE TUBERIA!G8,CAIDA PRESION DE TUBERIA!G7,=G7*(G5/G6)^0.5
CAIDA PRESION DE TUBERIA!G8,CAIDA PRESION DE TUBERIA!G6,=G7*(G5/G6)^0.5
CAIDA PRESION DE TUBERIA!V8,CAIDA PRESION DE TUBERIA!V6,=V7*(V5/V6)^0.5
CAIDA PRESION DE TUBERIA!V8,CAIDA PRESION DE TUBERIA!V5,=V7*(V5/V6)^0.5
CAIDA PRESION DE TUBERIA!V8,CAIDA PRESION DE TUBERIA!V7,=V7*(V5/V6)^0.5
CAIDA PRESION DE TUBERIA!G9,CAIDA PRESION DE TUBERIA!A20,"=VLOOKUP(A20,OUTPIPES,6,FALSE)"
CAIDA PRESION DE TUBERIA!V9,CAIDA PRESION DE TUBERIA!B20,"=VLOOKUP(B20,INPIPE,6,FALSE)"
CAIDA PRESION DE TUBERIA!G10,CAIDA PRESION DE TUBERIA!A20,"=VLOOKUP(A20,OUTPIPES,7,FALSE)"
CAIDA PRESION DE TUBERIA!V10,CAIDA PRESION DE TUBERIA!B20,"=VLOOKUP(B20,INPIPE,7,FALSE)"
CAIDA PRESION DE TUBERIA!G11,CAIDA PRESION DE TUBERIA!G5,=50.6*G5*G9/(G8*G10)
CAIDA PRESION DE TUBERIA!G11,CAIDA PRESION DE TUBERIA!G8,=50.6*G5*G9/(G8*G10)
CAIDA PRESION DE TUBERIA!G11,CAIDA PRESION DE TUBERIA!G10,=50.6*G5*G9/(G8*G10)
CAIDA PRESION DE TUBERIA!G11,CAIDA PRESION DE TUBERIA!G9,=50.6*G5*G9/(G8*G10)
CAIDA PRESION DE TUBERIA!V11,CAIDA PRESION DE TUBERIA!V10,=50.6*V5*V9/(V8*V10)
CAIDA PRESION DE TUBERIA!V11,CAIDA PRESION DE TUBERIA!V5,=50.6*V5*V9/(V8*V10)
CAIDA PRESION DE TUBERIA!V11,CAIDA PRESION DE TUBERIA!V9,=50.6*V5*V9/(V8*V10)
CAIDA PRESION DE TUBERIA!V11,CAIDA PRESION DE TUBERIA!V8,=50.6*V5*V9/(V8*V10)
CAIDA PRESION DE TUBERIA!G14,CAIDA PRESION DE TUBERIA!A21,"=VLOOKUP(A21,RUGOSIDAD,3)"
CAIDA PRESION DE TUBERIA!V14,CAIDA PRESION DE TUBERIA!B21,"=VLOOKUP(B21,RUGOSIDAD,3)"
CAIDA PRESION DE TUBERIA!G15,CAIDA PRESION DE TUBERIA!G14,=G14/(G12/12)
CAIDA PRESION DE TUBERIA!G15,CAIDA PRESION DE TUBERIA!G12,=G14/(G12/12)
CAIDA PRESION DE TUBERIA!V15,CAIDA PRESION DE TUBERIA!V14,=V14/(V12/12)
CAIDA PRESION DE TUBERIA!V15,CAIDA PRESION DE TUBERIA!V12,=V14/(V12/12)
CAIDA PRESION DE TUBERIA!G16,CAIDA PRESION DE TUBERIA!A20,"=VLOOKUP(A20,OUTPIPES,8,FALSE)"
CAIDA PRESION DE TUBERIA!V16,CAIDA PRESION DE TUBERIA!V11,= 64/V11
CAIDA PRESION DE TUBERIA!G19,CAIDA PRESION DE TUBERIA!G5,=(((G17*G16*G9*(G5^2))/(G8^5))*2.3071)*G18
CAIDA PRESION DE TUBERIA!G19,CAIDA PRESION DE TUBERIA!G16,=(((G17*G16*G9*(G5^2))/(G8^5))*2.3071)*G18
CAIDA PRESION DE TUBERIA!G19,CAIDA PRESION DE TUBERIA!G17,=(((G17*G16*G9*(G5^2))/(G8^5))*2.3071)*G18
