sheet,cell,formula_a1,formula_r1c1,cached_value,number_format,data_type,named_ranges_used,sheet_references,numeric_constants,functions_used,possible_meaning,input_units,output_units,confidence
CAIDA PRESION DE TUBERIA,V5,=G5,,FORMULA,General,f,,,,,,,,
CAIDA PRESION DE TUBERIA,G8,=G7*(G5/G6)^0.5,,FORMULA,0.0,f,,,0.5,,,,,
CAIDA PRESION DE TUBERIA,V8,=V7*(V5/V6)^0.5,,FORMULA,0.0,f,,,0.5,,,,,
CAIDA PRESION DE TUBERIA,G9,"=VLOOKUP(A20,OUTPIPES,6,FALSE)",,FORMULA,General,f,OUTPIPE; OUTPIPES,,6.0,VLOOKUP,,,,
CAIDA PRESION DE TUBERIA,V9,"=VLOOKUP(B20,INPIPE,6,FALSE)",,FORMULA,General,f,INPIPE,,6.0,VLOOKUP,,,,
CAIDA PRESION DE TUBERIA,G10,"=VLOOKUP(A20,OUTPIPES,7,FALSE)",,FORMULA,General,f,OUTPIPE; OUTPIPES,,7.0,VLOOKUP,,,,
CAIDA PRESION DE TUBERIA,V10,"=VLOOKUP(B20,INPIPE,7,FALSE)",,FORMULA,General,f,INPIPE,,7.0,VLOOKUP,,,,
CAIDA PRESION DE TUBERIA,G11,=50.6*G5*G9/(G8*G10),,FORMULA,"#,##0.00",f,,,50.6,,,,,
CAIDA PRESION DE TUBERIA,V11,=50.6*V5*V9/(V8*V10),,FORMULA,"#,##0.00",f,,,50.6,,,,,
CAIDA PRESION DE TUBERIA,G14,"=VLOOKUP(A21,RUGOSIDAD,3)",,FORMULA,0.00000,f,RUGOSIDAD,,3.0,VLOOKUP,,,,
CAIDA PRESION DE TUBERIA,V14,"=VLOOKUP(B21,RUGOSIDAD,3)",,FORMULA,0.00000,f,RUGOSIDAD,,3.0,VLOOKUP,,,,
CAIDA PRESION DE TUBERIA,G15,=G14/(G12/12),,FORMULA,0.00000,f,,,4.0; 2.0; 12.0,,,,,
CAIDA PRESION DE TUBERIA,V15,=V14/(V12/12),,FORMULA,0.00000,f,,,4.0; 2.0; 12.0,,,,,
CAIDA PRESION DE TUBERIA,G16,"=VLOOKUP(A20,OUTPIPES,8,FALSE)",,FORMULA,0.00000,f,OUTPIPE; OUTPIPES,,8.0,VLOOKUP,,,,
CAIDA PRESION DE TUBERIA,V16,= 64/V11,,FORMULA,0.00000,f,,,64.0,,,,,
CAIDA PRESION DE TUBERIA,G19,=(((G17*G16*G9*(G5^2))/(G8^5))*2.3071)*G18,,FORMULA,0.0000000,f,,,7.0; 6.0; 2.0; 5.0; 2.3071; 8.0,,,,,
CAIDA PRESION DE TUBERIA,V19,=(((V17*V16*V9*(V5^2))/(V8^5))*2.3071)*V18,,FORMULA,0.0000000,f,,,7.0; 6.0; 2.0; 5.0; 2.3071; 8.0,,,,,
CALCULO DE BOMBA,C4,"=VLOOKUP('CAIDA PRESION DE TUBERIA'!A20,OUTPIPES,2,FALSE)",,FORMULA,General,f,OUTPIPE; OUTPIPES,CAIDA PRESION DE TUBERIA,2.0,VLOOKUP,,,,
CALCULO DE BOMBA,E4,='CAIDA PRESION DE TUBERIA'!G5,,FORMULA,0.00,f,,CAIDA PRESION DE TUBERIA,,,,,,
CALCULO DE BOMBA,E5,='CAIDA PRESION DE TUBERIA'!G9,,FORMULA,General,f,,CAIDA PRESION DE TUBERIA,,,,,,
CALCULO DE BOMBA,E6,='CAIDA PRESION DE TUBERIA'!G10,,FORMULA,General,f,,CAIDA PRESION DE TUBERIA,,,,,,
CALCULO DE BOMBA,C8,=14.7,,FORMULA,0.00,f,,,14.7,,,,,
CALCULO DE BOMBA,C9,=500/304.8,,FORMULA,0.00,f,,,500.0; 304.8,,,,,
CALCULO DE BOMBA,E9,"=VLOOKUP(A32,presionvapor,4,FALSE)",,FORMULA,0.00,f,presionvapor,,2.0; 4.0,VLOOKUP,,,,
CALCULO DE BOMBA,C11,='TABLA DE ACCESORIOS SUCCION'!I40,,FORMULA,0.0000,f,SUCCION,TABLA DE ACCESORIOS SUCCION,,,,,,
CALCULO DE BOMBA,E11,"=VLOOKUP(A32,gravedadespecifica,5,FALSE)",,FORMULA,0.00,f,gravedadespecifica,,2.0; 5.0,VLOOKUP,,,,
CALCULO DE BOMBA,C12,=2.12*3.281,,FORMULA,0.00,f,,,2.12; 3.281,,,,,
