component,excel_value,legacy_value,validated_value,unit
Static Suction Head,1.6404199475065617,1.6404199475065617,1.6404199475065617,ft
Suction Fitting Losses,0.01682488888888889,0.01682488888888889,0.01682488888888889,ft
Suction Pipe Losses,0.02610505266548906,0.02610505266548906,0.018890540413563108,ft
Static Head Difference,5.279580052493438,5.279580052493438,5.279580052493438,ft
Discharge Fitting Losses,188.5586148,188.5586148,188.5586148,ft
Discharge Pipe Losses,1.6025427643641375,1.6025427643641375,1.257087627485703,ft
Velocity Head Difference,0.0,0.0,0.9989625683831136,ft
TDH (surface-to-surface),195.48366755841192,195.48366755841192,195.13099790928158,ft
TDH (flange-to-flange),0.0,0.0,6.278542620876552,ft
NPSHa (from surface),33.877128196906966,33.877128196906966,33.87505627699808,ft
NPSHa (from flange),0.0,0.0,34.02646476871585,ft
Hydraulic HP,37.84521844052718,37.84521844052718,37.776942353448476,hp
Shaft HP,52.56280338962108,52.56280338962108,52.46797549090066,hp
Torque (validated),162.3881431778176,162.3881431778176,76.54494646616952,lb-ft
Torque (legacy),162.3881431778176,162.3881431778176,162.09518075188842,lb-ft
