variable,sheet,cell,excel_formula,excel_live_value,legacy_python_value,absolute_difference,relative_difference,tolerance,status,unit
discharge_diameter_in,CAIDA PRESION DE TUBERIA,G8,=G7*(G5/G6)^0.5,6.04836447718,6.04836447718,0,0,1e-06 abs / 1e-06 rel,EXACT_MATCH,in
suction_diameter_in,CAIDA PRESION DE TUBERIA,V8,=V7*(V5/V6)^0.5,10.0417610459,10.0417610459,0,0,1e-06 abs / 1e-06 rel,EXACT_MATCH,in
re_discharge,CAIDA PRESION DE TUBERIA,G11,=50.6*G5*G9/(G8*G10),768552.521391,768552.521391,0,0,0.001 abs / 1e-06 rel,EXACT_MATCH,-
re_suction,CAIDA PRESION DE TUBERIA,V11,=50.6*V5*V9/(V8*V10),462915.39382,462915.39382,0,0,0.001 abs / 1e-06 rel,EXACT_MATCH,-
f_discharge,CAIDA PRESION DE TUBERIA,G17,0.0272,0.0272,0.0272,0,0,1e-09 abs / 1e-08 rel,EXACT_MATCH,-
f_suction,CAIDA PRESION DE TUBERIA,V16,=64/V11,0.00013825420553,0.00013825420553,0,0,1e-09 abs / 1e-08 rel,EXACT_MATCH,-
hf_per_ft_discharge,CAIDA PRESION DE TUBERIA,G19,=(((G17*G16*G9*(G5^2))/(G8^5))*2.3071)*G18,0.0445150767879,0.0445150767879,0,0,1e-09 abs / 1e-08 rel,EXACT_MATCH,ft/ft
hf_per_ft_suction,CAIDA PRESION DE TUBERIA,V19,=(((V17*V16*V9*(V5^2))/(V8^5))*2.3071)*V18,0.00375303385782,0.00375303385782,0,0,1e-09 abs / 1e-08 rel,EXACT_MATCH,ft/ft
static_suction_head_ft,CALCULO DE BOMBA,C9,=500/304.8,1.64041994751,1.64041994751,0,0,1e-06 abs / 1e-06 rel,EXACT_MATCH,ft
suction_fitting_losses_ft,CALCULO DE BOMBA,C11,='TABLA DE ACCESORIOS SUCCION'!I40,0.0168248888889,0.0168,-2.48888888889e-05,-0.00147928994083,0.0001 abs / 0.001 rel,FORMULA_REPRODUCTION_ERROR,ft
suction_pipe_losses_ft,CALCULO DE BOMBA,C14,=C12*C13,0.0261050526655,0.0261050526655,0,0,0.0001 abs / 0.001 rel,EXACT_MATCH,ft
static_head_diff_ft,CALCULO DE BOMBA,C21,=C20-C9,5.27958005249,5.27958005249,0,0,0.0001 abs / 0.001 rel,EXACT_MATCH,ft
pump_efficiency,CALCULO DE BOMBA,C22,0.72,0.72,0.72,0,0,1e-09 abs / 1e-08 rel,EXACT_MATCH,-
discharge_fitting_losses_ft,CALCULO DE BOMBA,C24,='TABLA DE ACCESORIOS DESCARGA'!I41,188.558614815,188.56,0.00138518518517,7.34617819786e-06,0.001 abs / 0.001 rel,FORMULA_REPRODUCTION_ERROR,ft
discharge_pipe_losses_ft,CALCULO DE BOMBA,C26,=RAMALES!F19,1.66998861652,1.67,1.13834796989e-05,6.81650137388e-06,0.0001 abs / 0.001 rel,FORMULA_REPRODUCTION_ERROR,ft
tdh_ft,CALCULO DE BOMBA,C28,=C11+C14+C21+C24+C26,195.551113425,195.5529,0.00178657461706,9.13610045866e-06,0.005 abs / 1e-05 rel,FORMULA_REPRODUCTION_ERROR,ft
tdh_m,CALCULO DE BOMBA,E24,=C28*0.3048,59.6039793721,59.60452392,0.000544547943278,9.13610045864e-06,0.002 abs / 1e-05 rel,FORMULA_REPRODUCTION_ERROR,m
rpm,CALCULO DE BOMBA,C29,3600,3600,3600,0,0,1e-09 abs / 1e-08 rel,EXACT_MATCH,RPM
flow_gpm,CALCULO DE BOMBA,E4,='CAIDA PRESION DE TUBERIA'!G5,770.5,770.5,0,0,1e-09 abs / 1e-08 rel,EXACT_MATCH,GPM
specific_gravity,CALCULO DE BOMBA,E11,"=BUSCARV(A32,gravedadespecifica,5,FALSE)",0.995,0.995,0,0,1e-09 abs / 1e-08 rel,EXACT_MATCH,-
vapor_pressure_head_ft,CALCULO DE BOMBA,E9,"=BUSCARV(A32,presionvapor,4,FALSE)",1.84573839662,1.8457,-3.8396624473e-05,-2.08028529629e-05,0.001 abs / 0.0001 rel,FORMULA_REPRODUCTION_ERROR,ft
npsha_ft,CALCULO DE BOMBA,E14,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9,33.8793898003,33.879438191,4.83906722835e-05,1.42832183722e-06,0.001 abs / 1e-05 rel,FORMULA_REPRODUCTION_ERROR,ft
hydraulic_hp,CALCULO DE BOMBA,E20,=(E4*C28*E11)/3960,37.8582758156,37.8586216926,0.000345877011043,9.13610045865e-06,0.0001 abs / 0.001 rel,FORMULA_REPRODUCTION_ERROR,HP
shaft_hp,CALCULO DE BOMBA,E21,=E20/C22,52.5809386328,52.5814190175,0.000480384737557,9.13610045861e-06,0.0001 abs / 0.001 rel,FORMULA_REPRODUCTION_ERROR,HP
