property,value,detail
cell,U40,TABLA DE ACCESORIOS DESCARGA
value,79.77,Hardcoded numeric value (data_type='n')
number_format,General,"Default format, no special number formatting"
comment_text,PRESION DE OPERACION DEL EQUIPO,Cell comment: Equipment Operating Pressure
comment_author,usuario,Comment author = 'usuario' (generic user)
data_validation,NONE,No data validation rule on this cell
conditional_formatting,No conditional formatting detected,
,,
column_header_merged,U3:U6,Merged region = 'ESPESADOR DISCOS CARA' (Disc Face Thickness)
adjacent_right,V40 = 'PSI',Units label: PSI
adjacent_left,T40 = None,No value in T40
adjacent_below,U41 = =(SUM(U7:U40))*2.31 = 185.1003 ft,Formula converts PSI sum to feet
row_40_accessory_leq,I40 = 0.0 (H40=0),Leq formula gives zero because quantity=0
,,
resumen_pdf_label,A26 = 'Perdidas en descarga por instrumentos y equipos',RESUMEN PARA PDF!A26
resumen_pdf_value,C26 = ='TABLA DE ACCESORIOS DESCARGA'!I41 = 188.5586 ft,RESUMEN PARA PDF!C26 - total discharge I&E losses
resumen_pdf_suction_label,A24 = 'Perdidas en succion por instrumentos y equipos',RESUMEN PARA PDF!A24
resumen_pdf_suction_value,C24 = ='CALCULO DE BOMBA'!C11 = 0.0168 ft,RESUMEN PARA PDF!C24
,,
vba_hoja4,EMPTY,Hoja4.cls (DESCARGA sheet module) has no VBA code
vba_tablacc,Módulo2.bas TABLACC,Shortcut macro: selects TABLA DE ACCESORIOS sheet (no data modification)
other_sheets_reference,NONE,No other sheet contains value 79.77 or 80.13
,,
classification,EQUIPMENT_PRESSURE_DROP,Based on comment 'PRESION DE OPERACION DEL EQUIPO' and RESUMEN PARA PDF label
classification_basis,Self-declared in cell comment + workbook's own RESUMEN PARA PDF,"The workbook itself classifies this as instrument/equipment loss, not standard minor loss"
