parameter,value,legacy_tdh_ft,validated_tdh_ft,legacy_npsha_ft,validated_npsha_ft,legacy_shaft_hp,validated_shaft_hp,legacy_f_discharge,validated_f_discharge,legacy_f_suction,validated_f_suction
roughness_ft,6e-05,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
roughness_ft,0.00012,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
roughness_ft,0.00018,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
roughness_ft,0.00024,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
roughness_ft,0.0003,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
suction_length_ft,3.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
suction_length_ft,5.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
suction_length_ft,7.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
suction_length_ft,10.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
suction_length_ft,15.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
discharge_length_ft,18,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
discharge_length_ft,27,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
discharge_length_ft,36,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
discharge_length_ft,54,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
discharge_length_ft,72,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
sg,0.95,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
sg,0.995,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
sg,1.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
sg,1.05,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
sg,1.1,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
viscosity_cP,0.3,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
viscosity_cP,0.52,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
viscosity_cP,0.8,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
viscosity_cP,1.2,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
viscosity_cP,2.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
atm_psi,13.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
atm_psi,14.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
atm_psi,14.7,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
atm_psi,15.5,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
atm_psi,16.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
vapor_psi,0.4,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
vapor_psi,0.6,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
vapor_psi,0.8,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
vapor_psi,1.0,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
vapor_psi,1.5,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
efficiency,0.6,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
efficiency,0.66,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
efficiency,0.72,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
efficiency,0.78,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
efficiency,0.85,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
rpm,1750,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
rpm,2950,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
rpm,3550,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
rpm,3600,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
rpm,5000,195.5529,195.55,33.87943819095477,34.8,52.58141901751893,52.58,0.0272,0.0153,0.0001382542055295547,0.015
